Programme_ID,Programme_name,Programme_requirement,Document_Requirements
44710014,Master of Science in Innovation Management with a focus on Project Management,"A UK bachelor’s degree or equivalent at 2:2 level
Individuals who have HND/HNC/Dip HE, with three to four years strong professional work experience with evidence of managerial/supervisory responsibilities are also encouraged to apply
IELTS 6.5 (no less than 6.0 in any element); or TOEFL iBT 90; or equivalent
Alternatively, evidence you have previously studied in English, such as a letter to show that the Medium of Instruction was in English, can be accepted.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,"
3584236,Master of Science in Computational Analysis,"A UK Honours Degree at a minimum of second class (2:2) or equivalent. Some of our students decide to join us straight after they complete their undergraduate studies.
Or, for those joining us after time in the workplace, we recommend that they have five years of experience as a manager of people or projects.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,"
1001643435,MSc Financial Management,"A 2.2 Honours degree in a numerate subject where many of the modules were mathematics-based. Examples include, but are not limited to maths, finance, computing, science, and engineering.
Or an equivalent 2.2 Honours degree with 18 months of relevant computing work experience.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,"
10017324t,MSc Investment Management:,"A completed undergraduate (bachelor’s) degree or degree apprenticeship in a business-related field, although other degree subjects may be considered eligible (with some prior subject knowledge of accounting and finance).","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,"
1001842525,Business & Technology Management,"Fully qualified as a member of a professional accounting body (such as the ACCA, CIMA, ICAEW, or equivalent professional body) within the past ten years.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,"
78757,Master of Professional Studies in Business Strategy and Innovation,"A UK bachelor’s degree at a minimum of second class (2.2) or equivalent
Individuals who have HND/HNC/Dip HE, with three to four years strong professional work experience with evidence of managerial/supervisory responsibilities are also encouraged to apply.","HIGH SCHOOL/DEGREE CERTIFICATE AND TRANSCRIPT, INTERNATIONAL PASSPORT, CV, PERSONAL STATEMENT, IELTS,"
3456456,Sustainable Business,"Have a bachelor's degree or equivalent Academic degree
Passing the Common Master's Degree
Proficiency in English (B2 level) as evidenced by English language test results / Certificate of Appropriate Level
At least two years of managerial experience is required.","Application Form,passport (with a valid expiration date); Full university transcript (make sure to submit a signed and stamped version), NEET Score card and Health report for Medical, Migration Certificate,TC,Photo"
775567,Master of Science in Knowledge Engineering,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
100164567,Master of Science in Consumer Behavior and Insights,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
100218,MA in Creative Problem Solving and Design Leadership,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
100223434,MS in Public Health Systems and Policy for Development,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
100234213,Master of Arts in Business Leadership and Change Management,"- Application form
- High School Diploma / Certificate
- Undergraduate degree (Bachelor’s, MBA, or Master)
- Language Proficiency* (or request to waive**)
- CV
- Copy of Passport
- Letter of motivation
- Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
456453,Master of Business Administration (MBA) in Strategic Sales Leadership,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
10024246,"Master of Science in Sustainability Management with a focus on Project Management
","Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
53212445,Master of Professional Studies (MPS) in Corporate Finance and Investment Management,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
877543,Master of Arts (MA) in Applied Business and Consulting,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
123457,MS in Distributed Systems and Scalable Software Engineering,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
534678467,MA in Design Anthropology,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
1880028,MS in Fintech and Digital Payment Systems,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
1077029,Business & Society,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
354345534,MSc Business Management and science,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript"
7578,Master of Business Administration in Marketing Management,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications"
534234,MSc Inorganic Chemistry,IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport"
100021,MBA in Strategy Consulting and Business Innovation,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",
1460006,MSE in Machine Learning and Software Engineering,"2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport"
98798,MFA in Design for Sustainability,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
46324356,EMBA in Digital Marketing and E-commerce Management,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
1990028,Business Insights and Intelligence,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
1088029,Management Science,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
968998,MSc Physical Chemistry,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript"
67876867,Master of Science in Engineering Management (MSEM) with a Business Analytics Concentration,"IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications"
45673457,"Master of Science in International Development with a focus on Project Management
",IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport"
100022,MS in Public Health Program Management and Evaluation,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",
10006649,Master of Behavioral Finance (MBF),"2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport"
4252535,"Master of Science in Non-Profit Management with a focus on Project Management
","2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport"
1880044,Executive Master of Business Administration in Sales and Marketing,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport"
1077045,Master of Professional Studies in Digital Marketing and Social Media,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport"
342145u65,Master of Arts in Brand Management and Consumer Behavior,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport"
578874,Master of Business Administration in Financial Management,"Completion of a 4-year bachelor degree (or equivalent) from an accredited institution
A cumulative GPA of 70% or above, calculated based on the last 2 years of full time studies of the qualifying degree. Students of various undergraduate backgrounds are welcomed and encouraged into the program.
One academic or professional reference.
No prior work experience is required but all applicants must submit an updated resume and letter of intent.
Any student whose native language is not English, or did not receive a degree from a North American University or any countries listed on the exemption list, must achieve a satisfactory score on one of the following tests: IELTS 7, TOEFL 100, Duolingo 120, ELIP 3",English language proficiency scores: TOEFL-IBT- 83 IELTS- 6.5 PTE: 60 2-3 letters of recommendation Letter of intent Written Sample Professional Resume
67564,Master of Science in Investment Management,A Bachelor’s degree from a recognised university with a minimum CGPA of 2.50 on a 4.00 point scale.,A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.
1,Executive Master of Business Administration in Corporate Finance,"A Bachelor’s degree from a recognized
university with a minimum CGPA of 2.50 on a
4.00 point scale.",A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.
2,Master of Science in Marketing and Product Management,"Completion of a 4-year bachelor degree (or equivalent) from an accredited institution
A cumulative GPA of 70% or above, calculated based on the last 2 years of full time studies of the qualifying degree. Students of various undergraduate backgrounds are welcomed and encouraged into the program.
One academic or professional reference.
No prior work experience is required but all applicants must submit an updated resume and letter of intent.
Any student whose native language is not English, or did not receive a degree from a North American University or any countries listed on the exemption list, must achieve a satisfactory score on one of the following tests: IELTS 7, TOEFL 100, Duolingo 120, ELIP 3",English language proficiency scores: TOEFL-IBT- 83 IELTS- 6.5 PTE: 60 2-3 letters of recommendation Letter of intent Written Sample Professional Resume
3,Master of Professional Studies in Forensic Accounting and Fraud Examination,A Bachelor’s degree from a recognised university with a minimum CGPA of 2.50 on a 4.00 point scale.,A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.
4,"Master of Science in Arts Management with a focus on Project Management
","A Bachelor’s degree from a recognized
university with a minimum CGPA of 2.50 on a
4.00 point scale.",A Bachelor’s degree from a recognized university. Evidence of English proficiency for applicants whose first language is not English and who have not undertaken tertiary education in English.
100219,Master of Arts (MA) in Financial Management and Business Ethics,Not Available,"Duly filled visa application form Academic records and transcripts Passport/ID Photographs Letter of Acceptance from college Any previous Germany permits and visas if applicable ,Proof of financial support ,Recent passport size photos ,English language proficiency test scores ,CV ,Private Medical Insurance Cover"
5,MS in Management Consulting for Healthcare Organizations,"Admission to the Master of Business Administration - International Business (Day) Program is open to all candidates who have acquired a Bachelor’s degree of minimum three years duration recognised by Manipal University, with at least 50% in aggregate in the qualifying examination
The selection for the MBA - International Business (Day) program is based on valid score of CAT/MAT/GMAT/XAT and personal interview conducted by the University.","DOCUMENTS REQUIRED FOR UNDERGRADUATE PROGRAMS Attested copy of mark sheet/ grade sheet of 12th Std. examination/ equivalent - original & photocopy Certified copy of 10th Std. mark sheet - original & photocopy Transfer Certificate or School Leaving Certificate - original (will not be returned) Conduct Certificate issued by the school - original (will not be returned) Passport Copy - 1 set 10 passport size 
photographs,DOCUMENTS REQUIRED FOR POSTGRADUATE PROGRAMS Certified copy of Bachelor Degree and a copy of the mark sheet (along with the original) Passport copy 5 Passport size photograph"
100068675,MCS in Embedded Systems and Software Development,"Four (4) – year Bachelor’s degree or its equivalent from an accredited college or university.
Minimum cumulative GPA of 3.0 on a 4.0 scale. In exceptional circumstances, applicants with overall GPA between 2.75 - 2.99 (on a 4.0 scale) may be eligible to apply if they have a minimum of 2 years’ work experience with a proof of employment to be submitted by the employer.","A copy of your passport (valid passport only, expired passport will not be accepted). Proof of English Language Proficiency (IELTS Academic and IELTS Online, TOEFL iBT and Home Edition, PTE). GMAT score if your overall GPA is less than 3.0 on a 4.0 scale (MBA only) Bachelor's Degree completion certificate."
4356700,MS in Product Design and Development,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
43678,MPS in Digital Transformation and Enterprise Architecture,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
43268,Sustainable Business Strategy,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s minimum 180 ECTS)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)
Work experience certificate (1-year full-time work experience required)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
3462635,Business Technology and Innovation,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
1002228,Master of Arts in Financial Planning and Wealth Management,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
1099029,MSc Computational Chemistry,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
4546534,Master of Science in Sports Management (MSM) with a Business Analytics Concentration,"Undergraduate degree or Ontario College diploma of 2 years (4 semesters) minimum in any discipline or equivalent.
One mathematics course at the post-secondary level (recommended but not required for admissions).
Successful competition of Fleming College Toronto English Language Bridge Level 6 or provide IELTS Academic Overall 6.5 with no band score less than 6.0 or equivalent (students applying through the SDS stream must have an overall 6.0 with no band less than 6.0).","Original Secondary School Transcript, O-level Certificate, English Proficiency, International Passport, BSc Certificate and Transcript"
567576756,"Master of Science in Education Administration with a focus on Project Management
","IELTS (Academic): 6.0, no component less than 5.5
DuoLingo: Min score 105, min 100 in each section (under review)
Pearson PTE Academic: Min score of 50 (preferably closer to 55)
TOEFL IBT: Min score of 80
Cambridge English Qualifications: A minimum score of 180-190 (FCE Grade B)","English Language requirements for International student ,Overseas equivalent qualifications"
6,MIPH in Public Health Policy Analysis and Advocacy,IELTS 6.5 and Above Minimum 6.0 in the writing band,"Transcript, Degree/High/Diploma Certificate, Transcripts, SOP, Resume, IELTS, International Passport"
100023,MA in Design Management and Leadership,"The original of secondary school (maturity) certificate and transcript of grades, entitling to undertake university-level study in country in which the certificate / document was issued
a proof of student’s id (ELS) payment – in case of candidates not holding ELS",
100064632,MA in Social Media Marketing and Digital Communications,"2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport"
211324246800,Strategic Business Planning,"2:2 or above from a UK Bachelor’s degree, or equivalent qualification(s)","Academic documents, including senior secondary school mark sheets and certificates Academic documents, including mark sheets and certificates from the bachelor’s programme (graduate applicants only) Official transcripts of all documents that are not in English Proof of prior employment Personal Statement A reference or letter of recommendation Proof of English proficiency through official test scores A copy of the passport"
1990044,Business And Society Development,"Bachelor's degree from an accredited institution
GPA requirements for unconditional admission: 2.75 cumulative grade point average at the completion of the undergraduate degree
GPA requirements for conditional admission: 2.5 cumulative grade point average at the completion of the undergraduate degree
Official transcripts from all institutions previously attended","To be admitted to Avila University, proficiency in English is typically required1. They may accept scores of these English language tests as proof of proficiency: IELTS and TOEFL1. The requirements for undergraduate student admission are as follows2: Official high school transcripts Minimum high school GPA of 2.75 or above to apply without SAT or ACT scores; or Minimum high school GPA of 2.5 and ACT score of 20 or SAT score of 1020 English language proficiency test scores Copy of passport( Official educational institute transcripts English proficiency test tallies Copy of passport"
1003328,Master of Business Administration in Operations Management,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
1001129,MSc Petrochemistry,"Application form
High School Diploma / Certificate
Undergraduate degree (Bachelor’s, MBA, or Master)
Language Proficiency* (or request to waive**)
CV
Copy of Passport
Letter of motivation
Non-EU applicants only: €3,000 deposit (This reservation fee will be deducted from the total amount of study fees)","A resume or CV Photos Proof of English proficiency Application form along with the fee A cover letter A letter of motivation - 500 words High school graduation certificate High school transcripts A xerox of the passport A portfolio of your design to study design. If the applicants have low academic or entrance scores, they must submit a letter of recommendation from the last attended university."
