ID,Current_Job,Qualification,Years_of_experience,Industry
705, Graphic Designer ,Google Data Analytics Professional Certificate,7,Advertising & Marketing
706, Digital Marketing Manager ,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",6,Business Products & Services
707, Technical Lead ,"LEED Green Associate, Certified Environmental Professional (CEP)",7,Media
708, Digital Marketing Manager,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",5,Health
709, Managing Director ,Biomedical Engineering Certificate,4,Construction
710, Digital Marketing Manager ,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",7,Business Products & Services
711, Wordpress Website Designer,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",10,Government Services
712, Social Media Designer,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",5,Food & Beverage
713, Founder & Digital Marketing Manager,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",3,Consumer Products & Services
714, Graduate Student ,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",10,Logistics & Transportation
715, ICT Officer ,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",11,Advertising & Marketing
716," Sheffield, England, United Kingdom","National Board Certification (NBCT), Google Certified Educator",10,Financial Services
717, THERAPEUO PLACE,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",4,Logistics & Transportation
718," Group Head, Digital growth","Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Health
719, Digital Specialist ,"Certified Mediator, Certified Ethical Hacker (CEH)",6,Energy
720, Social Media Manager/Digital marketing,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",10,Health
721, Associate Graphics Designer,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",9,Business Products & Services
722, Product Manager ,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",5,Construction
723, Graphic and Website Designer ,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",10,Government Services
724, Social Media Manager,"Certified Stage Combatant, Actor's Equity Association Membership",6,Business Products & Services
725, Website Designer and digital marketing ...,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",5,Government Services
726, Marketing Manager ,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",7,Advertising & Marketing
727, graphic designer/digital marketer,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",10,Financial Services
728, Digital Marketing Manager,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",5,Construction
729, Freelance Graphic Designer,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",10,Government Services
730, Digital Marketing Intern ,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",7,Logistics & Transportation
731, Digital Creator/Marketer,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",10,Logistics & Transportation
732, Digital marketer ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Government Services
733, Digital Marketer/Graphics Designer,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",4,Media
734, Graphic Designer ,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Advertising & Marketing
735, Freelance Graphic Designer,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",10,Consumer Products & Services
736, Website Developer and designer,"Google Ads Certification, Facebook Blueprint Certification",10,Human Resources
737, UI/UX Designer ,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",5,Human Resources
738," Media, growth and marketing lead","Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",9,Business Products & Services
739, Visual Designer & Marketing Associate,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Education
740, Digital Marketing Manager ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Health
741, Social media marketer/Digital Marketer,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",5,Engineering
742, Digital Marketer ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",4,Telecommunications
743, Digital Marketing Manager,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Consumer Products & Services
744, Lead Designer ,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Advertising & Marketing
745," Graphic Designer, Digital Marketer","Certified Nonprofit Professional (CNP), Fundraising Certification",5,Business Products & Services
746, Digital marketer ,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Telecommunications
747," Digital Marketer, Graphic Designer & ...","American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",7,Education
748, Graphic Designer ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",4,Business Products & Services
749, Digital Marketer ,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",0,Retail
750, Digital Marketing Manager ,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",6,Advertising & Marketing
751, Online Marketing Manager,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Real Estate
752, Lead Digital Marketing Executive,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",7,Manufacturing
753, Digital Marketing Manager,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",2,Software
754, Digital Marketing Graduate Specialist,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",2,Health
755, Sales Executive ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",5,Software
756, digital marketer ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",7,Manufacturing
757, Content Creator ,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",8,Advertising & Marketing
758, Web Developer ,"Cisco Certified Network Associate (CCNA), CompTIA Security+",5,IT System Development
759, Digital Marketing Intern ,Certified Clinical Research Professional (CCRP),5,Food & Beverage
760, Product Designer ,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",10,Construction
761, Freelance Web Developer & ...,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",5,IT System Development
762, Digital Marketing Manager,Certified SolidWorks Associate (CSWA),3,Retail
763, Digital Marketer/ Graphic and Web Designer,Microsoft Certified: Azure Fundamentals,6,Software
764, Web Designer ,Google Data Analytics Professional Certificate,10,Business Products & Services
765, Digital Marketing Manager ,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",5,Logistics & Transportation
766, Communications Associate ,"LEED Green Associate, Certified Environmental Professional (CEP)",6,Software
767, Graphic Designer ,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",5,Real Estate
768, Brand Manager ,Biomedical Engineering Certificate,0,Consumer Products & Services
769, Digital Marketer ,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",5,Financial Services
770, Digital Marketing Manager,Teaching English as a Foreign Language (TEFL),10,Real Estate
771, Graphics Designer ,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",5,IT Management
772, Marketing Associate ,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Business Products & Services
773, Marketing Graphic Designer ,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",7,Business Products & Services
774, Social Media Manager ,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",7,Environmental Services
775, Product Designer (UI/UX) ,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",5,IT Management
776, Community & Partnerships Manager,"National Board Certification (NBCT), Google Certified Educator",8,Business Products & Services
777, Website Designer ,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",10,Construction
778, Co,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Advertising & Marketing
779, Digital marketer ,"Certified Mediator, Certified Ethical Hacker (CEH)",10,Real Estate
780, Digital Marketing Team Lead,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",0,Energy
781, Web Designer ,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",3,Real Estate
782, Member ,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",5,Business Products & Services
783, Product Designer ,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",10,Advertising & Marketing
784, Digital Marketing ,"Certified Stage Combatant, Actor's Equity Association Membership",7,Advertising & Marketing
785, Designs and Communications Executive,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",5,Retail
786, Graphic Designer ,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",6,Government Services
787, Producer/Host ,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",5,Manufacturing
788, Digital Marketing Specialist ,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",10,Advertising & Marketing
789, Consultant for Education and Digital ...,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",7,Government Services
790, Social Media Manager,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",0,Manufacturing
791, Media Officer ,"National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",7,Advertising & Marketing
792, Graphic Designer ,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",10,Advertising & Marketing
793, Sales And Marketing Specialist ,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",10,Advertising & Marketing
794, Covenant University ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Food & Beverage
795, Content Creator ,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",5,Logistics & Transportation
796," Yaba College of Technology, Yaba, Lagos","Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",5,Business Products & Services
797, Digital Marketing Manager ,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",5,Software
798, Digital Marketing Manager,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",5,Engineering
799, Digital Marketer ,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",5,Advertising & Marketing
800, Digital Marketing Specialist ,"Google Ads Certification, Facebook Blueprint Certification",5,Telecommunications
801, CEO,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",10,Engineering
802, Digital Executive ,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",5,Manufacturing
803, Creative Director ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Consumer Products & Services
804, Salesperson ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Consumer Products & Services
805, University of Ibadan,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",15,IT System Development
806, Junior Graphic Designer ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Health
807, Personal Assistant ,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Health
808, Content Writer ,"Accredited in Public Relations (APR), Crisis Communication Certification",8,Business Products & Services
809, Digital Content Creator/Marketer,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",5,Consumer Products & Services
810, Digital Marketing Manager ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",7,Advertising & Marketing
811, NORAK TECHNOLOGIES LIMITED,"Certified Nonprofit Professional (CNP), Fundraising Certification",12,Advertising & Marketing
812, Customer Service Specialist ,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Engineering
813, Zedcrest Group,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Advertising & Marketing
814, Digital Designer ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",5,Education
815, Brand Designer/Digital marketer,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",9,IT System Development
816, Digital Product Manager ,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",4,Business Products & Services
817, Customer Service Representative,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Software
818, UX Designer ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",8,Business Products & Services
819, Digital marketer ,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",0,Software
820, digital marketer ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",8,Health
821, Store Designer and affiliate marketer ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",4,Advertising & Marketing
822, PERFORMANCE MARKETER (META ...,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",10,Consumer Products & Services
823, Digital Marketing Executive ,"Cisco Certified Network Associate (CCNA), CompTIA Security+",10,Health
824, Marketing Specialist ,Certified Clinical Research Professional (CCRP),9,Food & Beverage
825, Digital Marketing Agency,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",3,Financial Services
826, Digital Marketer ,Certified SolidWorks Associate (CSWA),8,Real Estate
827, Graphic and Web Designer ...,Microsoft Certified: Azure Fundamentals,10,Construction
828, Freelance Graphic Designer ,Google Data Analytics Professional Certificate,10,Consumer Products & Services
829, UX Lead ,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",2,Consumer Products & Services
830, Sales And Marketing Specialist ,"LEED Green Associate, Certified Environmental Professional (CEP)",10,Health
831, Graphic Designer ,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",5,Education
832, Social Media Marketing Specialist,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",10,Human Resources
833, Digital Marketing Community,Teaching English as a Foreign Language (TEFL),1,Logistics & Transportation
834, Periwinkle Residences Limited,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",7,Logistics & Transportation
835, Digital marketer ,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Security
836, Digital Marketer ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Travel & Hospitality
837, Digital Marketing Manager ,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",10,Construction
838, Marketing Technologist ,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",7,Consumer Products & Services
839, Creative Lead ,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",10,Business Products & Services
840, Social Media & Website Manager,"National Board Certification (NBCT), Google Certified Educator",10,Real Estate
841, Growth Marketing Manager,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Government Services
842, Senior General Manager ,"Certified Mediator, Certified Ethical Hacker (CEH)",7,Business Products & Services
843, Marketer ,"Adobe Certified Associate (ACA) in Video Communication, Avid Certified User (ACU)",6,Software
844, Graphic and Web Designer ...,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",7,Food & Beverage
845, Senior Brand Strategist | Web developer,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",6,Energy
846, Digital Marketer ,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",10,Education
847, Digital Marketer ,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",4,Manufacturing
848, WebDesigner And content marketer,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",7,IT System Development
849, Graphics Designer,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",7,IT System Development
850, SEO Expert,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",5,Manufacturing
851, Digital Marketing Specialist ,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",8,Consumer Products & Services
852, Web Designer ,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",0,Retail
853, Digital marketer / Business Developer,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",10,IT System Development
854, Digital Marketing Specialist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Retail
855," Head, Product Design & Marketing","Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",9,Software
856, Digital Marketing Executive ,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",10,Software
857, Social Media Marketing Specialist ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",7,Consumer Products & Services
858, UI/UX Designer ,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",3,IT Management
859, Digital Marketer and Social Media Manager,"Google Ads Certification, Facebook Blueprint Certification",5,Advertising & Marketing
860, United Kingdom,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",10,Consumer Products & Services
861, Digital Marketing Manager ,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",7,Advertising & Marketing
862, Graphic Design Intern ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Manufacturing
863, Digital Marketing Specialist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Retail
864, Digital Marketer ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",7,Retail
865, Growth Lead / Product Marketer,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",7,Advertising & Marketing
866, Maketing and creative lead,"Accredited in Public Relations (APR), Crisis Communication Certification",10,Software
867, Community Manager ,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Environmental Services
868, Digital Marketing Facilitator ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Financial Services
869, Trainee ,"Conflict Resolution Training, Certified International Trade Professional (CITP)",4,Software
870, Community Manager ,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",8,Financial Services
871, Office Manager ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Software
872, Team member ,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Software
873, Customer Delight Expert,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",8,Financial Services
874, Digital Wave Hq.,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Business Products & Services
875,Aluko ,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",8,Real Estate
876, UI/UX Designer ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",6,Advertising & Marketing
877, Product Manager ,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",5,Energy
878, Product Manager ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Advertising & Marketing
879," Product Manager, Fintech ","Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",5,IT Management
880, Product Owner ,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",10,Financial Services
881, Technical Project Manager ,Biomedical Engineering Certificate,5,Construction
882, The Good Thing Company,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",7,Retail
883, Head of Product ,Teaching English as a Foreign Language (TEFL),0,Business Products & Services
884, Program Manager | Product Owner,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",10,Business Products & Services
885, Product Manager ,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Food & Beverage
886, Product Manager ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Consumer Products & Services
887, Product/Project Manager ,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",5,Energy
888, IT Project Manager ,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",10,Retail
889, Project Manager ,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",0,IT Management
890, Project Manager ,"National Board Certification (NBCT), Google Certified Educator",2,Advertising & Marketing
891, Product Manager ,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",10,Advertising & Marketing
892, Product Manager ,"Certified Mediator, Certified Ethical Hacker (CEH)",7,Retail
893, Interswitch Group,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",5,Construction
894, Product Manager ,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",8,Government Services
895, Senior Product Manager ,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",5,Business Products & Services
896, Project Manager ,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",4,Financial Services
897, Senior Product Manager (Sales & Growth),"Certified Stage Combatant, Actor's Equity Association Membership",8,IT Management
898, Product Manager ,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",6,Consumer Products & Services
899, Product Manager ,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",5,Retail
900, Project Manager ,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",10,Advertising & Marketing
901, Product Operations Manager ,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",7,Retail
902, Product Manager ,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",7,Telecommunications
903, Product Manager ,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",0,IT Management
904, Project Delivery Manager ,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",10,Health
905, Production Project Manager,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",5,Real Estate
906, Project Manager ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",6,Construction
907, Technical Product/Project Manager,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",3,Business Products & Services
908, Product Manager ,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",4,Business Products & Services
909, Product Manager ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",3,Business Products & Services
910, Product Manager,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",5,Logistics & Transportation
911," Product Manager, Business Banking ","Google Ads Certification, Facebook Blueprint Certification",5,Energy
912, Product Manager ,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",5,Government Services
913, Product Manager ,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",11,IT Management
914, Project Manager ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",8,Advertising & Marketing
915, Project Manager | Scrum Master ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Real Estate
916, Product Manager ,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",3,Consumer Products & Services
917, Product Management Mentor,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Food & Beverage
918, Associate Product Manager,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",3,Construction
919, Product Manager ,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Consumer Products & Services
920, Project Manager ,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Government Services
921, Product Manager ,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Software
922, Dell Enterprise Product Manager,"Certified Nonprofit Professional (CNP), Fundraising Certification",8,Insurance
923, Product Supervisor ,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Health
924, Product Manager ,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Advertising & Marketing
925, Product Manager ,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,IT Management
926, Digital Product Manager ,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",10,Retail
927, Manager ,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",4,Financial Services
928, Contact Center Agent ,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",10,Energy
929, Regional Project Manager ,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Insurance
930, Product Manager ,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",3,Travel & Hospitality
931, Product Manager ,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",3,Consumer Products & Services
932, Co,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",3,Business Products & Services
933, Product Manager ,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",6,Telecommunications
934, Project Manager ,"BSc, Business Administration and Management",10,Financial Services
935, Project Manager ,"Bachelor's degree, political Science ",7,Software
936, Associate Project Manager,"BS, Computer Science",10,Manufacturing
937, Technical Product Manager,BA Linguistics ,10,Logistics & Transportation
938, IT Project Manager ,BSc in Environmental Design,5,Software
939, Senior Scrum Master/IT Project Manager,BA Business Management ,5,Consumer Products & Services
940, Product Manager ,BA.Philosophy ,10,Construction
941, Technical Project Manager ,Bsc.Economics ,5,Consumer Products & Services
942, Product management fellow ,"LLB,Law ",8,Construction
943, Product Owner ,Bsc.Micro Biology ,5,Energy
944," Product Manager, Healthbanc",Bsc.Biochemistry ,0,Government Services
945, Product Manager ,Bsc.Economics ,9,Retail
946, Product Manager (Access More and ...,Bsc.Accounting ,0,Software
947, Product Manager ,Bsc.Biology and Biological Science,6,Manufacturing
948, Product Manager Teacher ,Bsc.Business Administration and Management ,5,Software
949, Product Manager ,"BA,Linguistics ",4,Advertising & Marketing
950, Product Analyst ,"BASc, Computer Science",10,Manufacturing
951, Project Manager ,B.Eng. Electrical and Electronics Engineering,10,IT Management
952, Project Manager ,"Bachelor's degree, Systems Engineering",7,Financial Services
953," Product Manager, Infrastructure & B2B","Bachelor degree, Banking and Finance",10,Engineering
954, Techical product manager,"BS, Geophysics",10,IT Management
955, Product Manager ,"BSc, Computer Science with Economics",0,Construction
956, Data Analyst ,"BSc, Geography and Environmental Management",5,Consumer Products & Services
957, Senior I.T Project Manager,B.s.c Mass communications ,6,IT Management
958, Product Manager ,"Bsc, Computer Science",5,Retail
959, Project Manager,"BSc, Computer Science",5,Advertising & Marketing
960, Product Manager ,"BE, Computer Engineering",10,Advertising & Marketing
961, Product Manager ,"BE, Computer Engineering",10,Government Services
962, Technical Project Manager,"Bachelor's degree, Economics",7,Real Estate
963, Product Operations Manager,"Bachelor's degree, Computer Engineering",7,Health
964, Lead Client Account Manager ,"BS, Computer Science",10,Retail
965, DARZZANI LTD,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",7,Advertising & Marketing
966, IT Project Manager,"Bachelor of Agriculture, Agricultural Economics",4,Media
967, Technical Product Manager ,"Bachelor's degree, Accounting",6,Business Products & Services
968, Product Manager ,"BA, English Language and Literature",10,Software
969, Project Manager ,"Bachelor’s Degree, Cinematography and Film/Video Production",6,Engineering
970, Associate Product Manager ,"BE, mechantronics engineering",10,Advertising & Marketing
971," Product Manager, Mobile and Web ...",BSc Electrical and Electronics Engineering ,5,Logistics & Transportation
972, Personal Assistant to Director ,"BTech, Computer Science",5,Retail
973, Product Manager ,"Bachelor’s Degree, Electrical and Electronics Engineering",12,Software
974, Project Manager ,"BE, Electrical and Electronics Engineering",5,Business Products & Services
975, Lead Product/Project Manager (Software ...,B Tech. in Quantity Surveying,3,Financial Services
976, Lead Project Manager ,"BS, Computer Science",7,Health
977, Technical Product Manager,"BA, English Language and Literature, General",5,Manufacturing
978, Product Manager ,"BE, Mechanical Engineering",0,Retail
979, Logistics Project Manager ,"Bachelor's degree, Mass Communication/Media Studies",7,Consumer Products & Services
980, Product Manager ,"Bachelor of Science (B.Sc.), Computer Science",7,Software
981, Project Manager ,B.Sc. Computer Science,7,Retail
982, Product Manager ,"Bachelor of Engineering - BE, Electronic Engineering",7,Consumer Products & Services
983, Communications Manager,"BSc, Cell Biology, Molecular Biology, and Genetics",5,IT Management
984, Associate Product Manager ,"BS, Biochemistry",3,Consumer Products & Services
985, LearnTech2Gether Community,"Chemistry/Education , Education",10,Health
986, Product Manager ,"BEd, Guidance and counseling ",5,Construction
987, Product Manager ,"Bachelor's degree, Biochemistry",8,Advertising & Marketing
988, Business Manager/Creative director,LLB. Law,7,Insurance
989, Project Manager (Scrum Master),"BS, Biology/Biological Sciences, 
",5,Manufacturing
990, User Operations ,"Bachelor's degree, Economics",8,Real Estate
